Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
España;Gasto total;Valor absoluto;2022;35.431.861,07
España;Gasto total;Valor absoluto;2021;27.108.953,86
España;Gasto total;Valor absoluto;2020;17.558.445,34
España;Gasto total;Valor absoluto;2019;32.014.006,19
España;Gasto total;Valor absoluto;2018;30.861.205,00
España;Gasto total;Valor absoluto;2017;29.957.447,16
España;Gasto total;Valor absoluto;2016;28.154.445,43
España;Gasto total;Valor absoluto;2015;26.021.818,17
España;Gasto medio por persona;Valor absoluto;2024;248,27
España;Gasto medio por persona;Valor absoluto;2023;238,28
España;Gasto medio por persona;Valor absoluto;2022;228,22
España;Gasto medio por persona;Valor absoluto;2021;199,79
España;Gasto medio por persona;Valor absoluto;2020;182,05
España;Gasto medio por persona;Valor absoluto;2019;184,25
España;Gasto medio por persona;Valor absoluto;2018;174,58
España;Gasto medio por persona;Valor absoluto;2017;169,83
España;Gasto medio por persona;Valor absoluto;2016;169,38
España;Gasto medio por persona;Valor absoluto;2015;162,30
España;Gasto medio diario por persona;Valor absoluto;2024;63,73
España;Gasto medio diario por persona;Valor absoluto;2023;61,68
España;Gasto medio diario por persona;Valor absoluto;2022;58,25
España;Gasto medio diario por persona;Valor absoluto;2021;48,65
España;Gasto medio diario por persona;Valor absoluto;2020;38,96
España;Gasto medio diario por persona;Valor absoluto;2019;49,29
España;Gasto medio diario por persona;Valor absoluto;2018;47,89
España;Gasto medio diario por persona;Valor absoluto;2017;45,34
España;Gasto medio diario por persona;Valor absoluto;2016;43,78
España;Gasto medio diario por persona;Valor absoluto;2015;42,21
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2024;79.867.265
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2023;81.330.805
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2022;79.058.162
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2021;77.158.753
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2020;57.493.722
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2019;90.679.508
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2018;93.045.759
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2017;92.810.626
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2016;86.079.120
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2015;83.162.958
