,dia,mes,anio,festivo,provincia,comunidad,ambito
156,3,Abril,2015,Viernes Santo,Albacete,Castilla-La Mancha,nacional
157,6,Abril,2015,Lunes de Pascua,Albacete,Castilla-La Mancha,regional
158,1,Mayo,2015,Día del trabajo,Albacete,Castilla-La Mancha,nacional
159,4,Junio,2015,Corpus Christi,Albacete,Castilla-La Mancha,regional
160,24,Junio,2015,San Juan,Albacete,Castilla-La Mancha,local
161,15,Agosto,2015,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
162,8,Septiembre,2015,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
163,12,Octubre,2015,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
164,6,Diciembre,2015,Día de la Constitución Española(se traslada al lunes),Albacete,Castilla-La Mancha,nacional
165,8,Diciembre,2015,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
166,25,Diciembre,2015,Natividad del Señor,Albacete,Castilla-La Mancha,nacional
167,1,Enero,2016,Año nuevo,Albacete,Castilla-La Mancha,nacional
168,6,Enero,2016,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
169,24,Marzo,2016,Jueves Santo,Albacete,Castilla-La Mancha,regional
170,25,Marzo,2016,Viernes Santo,Albacete,Castilla-La Mancha,nacional
171,26,Mayo,2016,Corpus Christi,Albacete,Castilla-La Mancha,regional
172,31,Mayo,2016,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
173,24,Junio,2016,San Juan,Albacete,Castilla-La Mancha,local
174,15,Agosto,2016,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
175,8,Septiembre,2016,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
176,12,Octubre,2016,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
177,1,Noviembre,2016,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
178,6,Diciembre,2016,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
179,8,Diciembre,2016,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
180,25,Diciembre,2016,Natividad del Señor(se traslada al lunes),Albacete,Castilla-La Mancha,regional
181,6,Enero,2017,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
182,13,Abril,2017,Jueves Santo,Albacete,Castilla-La Mancha,regional
183,14,Abril,2017,Viernes Santo,Albacete,Castilla-La Mancha,nacional
184,1,Mayo,2017,Día del Trabajo,Albacete,Castilla-La Mancha,nacional
185,31,Mayo,2017,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
186,15,Junio,2017,Corpus Christi,Albacete,Castilla-La Mancha,regional
187,24,Junio,2017,San Juan,Albacete,Castilla-La Mancha,local
188,15,Agosto,2017,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
189,8,Septiembre,2017,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
190,12,Octubre,2017,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
191,1,Noviembre,2017,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
192,6,Diciembre,2017,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
193,8,Diciembre,2017,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
194,25,Diciembre,2017,Natividad del Señor,Albacete,Castilla-La Mancha,nacional
195,1,Enero,2018,Año nuevo,Albacete,Castilla-La Mancha,nacional
196,6,Enero,2018,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
197,29,Marzo,2018,Jueves Santo,Albacete,Castilla-La Mancha,regional
198,30,Marzo,2018,Viernes Santo,Albacete,Castilla-La Mancha,nacional
199,1,Mayo,2018,Fiesta del Trabajo,Albacete,Castilla-La Mancha,nacional
200,31,Mayo,2018,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
201,24,Junio,2018,San Juan(se traslada al lunes),Albacete,Castilla-La Mancha,local
202,15,Agosto,2018,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
